Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Number of Calls,
"T264dec_mb_read_coff_token_t4(struct Bitstream *,unsigned char *,unsigned char *)",0.18,0.17,0.18,0.17,0.00,0.00,0.01,0.01,"11,498",
"T264dec_mb_read_intra_cavlc(struct Bitstream *,unsigned char,struct macroblockInfo *,struct tag_cavlc_ref_list *)",9.26,3.73,8.77,3.61,0.00,0.00,0.37,0.15,"26,429",
"T264dec_mb_read_level_prefix(struct Bitstream *)",0.15,0.15,0.13,0.13,0.00,0.00,0.01,0.01,"14,965",
"T264dec_mb_read_run_before(struct Bitstream *,unsigned char)",0.09,0.09,0.09,0.09,0.00,0.00,0.00,0.00,"16,125",
"T264dec_mb_read_total_zero_chroma(struct Bitstream *,unsigned char)",0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.00,"7,284",
"T264dec_mb_read_total_zero1(struct Bitstream *)",0.27,0.27,0.27,0.27,0.00,0.00,0.01,0.01,"28,292",
"T264dec_mb_read_total_zero10(struct Bitstream *)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,
"T264dec_mb_read_total_zero11(struct Bitstream *)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"T264dec_mb_read_total_zero2(struct Bitstream *)",0.11,0.11,0.11,0.11,0.00,0.00,0.00,0.00,"8,314",
"T264dec_mb_read_total_zero3(struct Bitstream *)",0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.00,"3,034",
"T264dec_mb_read_total_zero4(struct Bitstream *)",0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,"1,409",
"T264dec_mb_read_total_zero5(struct Bitstream *)",0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.00,660,
"T264dec_mb_read_total_zero6(struct Bitstream *)",0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,290,
"T264dec_mb_read_total_zero7(struct Bitstream *)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129,
"T264dec_mb_read_total_zero8(struct Bitstream *)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,
"T264dec_mb_read_total_zero9(struct Bitstream *)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24,
"ThreadInfo::Clear(void)",0.11,0.00,0.01,0.00,0.00,0.00,0.00,0.00,62,
"ThreadInfo::ReadInSignal(void)",26.54,0.07,0.15,0.07,0.01,0.00,0.01,0.00,260,
"ThreadInfo::ReadOutSignal(void)",1.00,0.07,0.40,0.07,0.00,0.00,0.02,0.00,161,
"ThreadInfo::ThreadInfo(void)",0.68,0.09,0.15,0.08,0.00,0.00,0.01,0.00,256,
"unscan_zig_4x4(short *,short *)","1,906.07","1,906.07",12.03,12.03,0.90,0.90,0.51,0.51,"2,942,655",
"WaitForMultipleObjects","55,858.11","55,858.11",0.00,0.00,26.48,26.48,0.00,0.00,130,
"WaitForSingleObject",30.48,30.48,0.00,0.00,0.01,0.01,0.00,0.00,838,
"WaitForSpu(void)",1.16,0.13,0.77,0.13,0.00,0.00,0.03,0.01,542,
"WaitSignals(unsigned long *,unsigned int)","55,858.56",0.04,0.05,0.04,26.48,0.00,0.00,0.00,130,
